Data Water Pollution course 2002 to 2014;;;;nd: no data;;;;;;
;;;;below detection limit:orange;;;;;;
;;;;green: doubtful value;;;;;;
;;;;;;;;;;
;;;Site;1;2;3;4;5;;
;;;Year;Furesø ;before dam;after waterfall;Lyngby sø;Bagsværd sø;;
;;;2014;0,015;0,06;0,12;0,07;0,11;;
;;;2013;0,068;0,164;nd ;0,0155;0,0335;;
;;;2012;0,04;0,08;nd;0,02;0,055;;
;;;2011;0,05;0,05;0,05;0,15;0,06;;
;;;2010;0,025;0,025;0,03;0,03;< 0.05;;
;;;2009;0,03;0,055;0,08;0,04;0,09;;
;Ammonium;mg N/L;2008;0,053;0,203;0,065;0,173;0,327;;
;;;2007;0,025;0,22;0,12;0,25;0,08;;
;limit of det;;2006;0,06;0,02;0,05;0,01;0,05;;
;<0.05;;2004;0,4;0,22;0,3;0,3;0,65;;
;;;2003;0,15;0,11;0,07;0,15;nd;;
;;;2002;0,19;0,09;0,05;0,075;nd;;
;;;;;;;;;;
;;;;;;;;;;
